state	constituency	candidate_name	sex	age	category	partyname	partysymbol	general	postal	total	pct_of_total_votes	pct_of_polled_votes	totalvoters
Andhra Pradesh	Adilabad 	GODAM NAGESH	M	49	ST	TRS	Car	425762	5085	430847	31.07931864	40.81807244	1386282
Andhra Pradesh	Adilabad 	NARESH	M	37	ST	INC	Hand	257994	1563	259557	18.72324679	24.59020587	1386282
Andhra Pradesh	Adilabad 	RAMESH RATHOD	M	48	ST	TDP	Bicycle	182879	1319	184198	13.28719553	17.45075933	1386282
Andhra Pradesh	Adilabad 	RATHOD SADASHIV	M	55	ST	BSP	Elephant	94363	57	94420	6.81102402	8.945269201	1386282
Andhra Pradesh	Adilabad 	NETHAWATH RAMDAS	M	44	ST	IND	Auto- Rickshaw	41028	4	41032	2.959859538	3.88733622	1386282
Andhra Pradesh	Adilabad 	PAWAR KRISHNA	M	33	ST	IND	Bat	5051	4	5055	0.364644423	0.478906331	1386282
Andhra Pradesh	Adilabad 	BANKA SAHADEV	M	53	ST	IND	Gas Cylinder	4780	7	4787	0.345312137	0.453516243	1386282
Andhra Pradesh	Adilabad 	MOSALI CHINNAIAH	M	40	ST	IND	Almirah	8842	17	8859	0.639047467	0.839294004	1386282
Andhra Pradesh	Adilabad 	None of the Above				NOTA	NOTA	17021	63	17084	1.232361092	1.618523396	1386282
Andhra Pradesh	Peddapalle 	DR.JANAPATI SARAT BABU	M	42	SC	TDP	Bicycle	63174	160	63334	4.44338428	6.177860018	1425355
Andhra Pradesh	Peddapalle 	TAGARAM SHANKAR LAL	M	37	SC	BSP	Elephant	9430	19	9449	0.66292257	0.921694498	1425355
Andhra Pradesh	Peddapalle 	BALKA SUMAN	M	31	SC	TRS	Car	563214	2282	565496	39.67404611	55.16081613	1425355
Andhra Pradesh	Peddapalle 	G. VIVEKANAND	M	56	SC	INC	Hand	273441	897	274338	19.24699461	26.76006192	1425355
Andhra Pradesh	Peddapalle 	KALVALA SHANKAR	M	44	SC	PPOI	Television	9288	2	9290	0.651767454	0.906184981	1425355
Andhra Pradesh	Peddapalle 	KALVALA SANJEEV	M	37	SC	RPI	Sewing Machine	8609	0	8609	0.603989883	0.839757427	1425355
Andhra Pradesh	Peddapalle 	BOTHA VENKATA MALLAIAH	M	58	SC	BCUF	Chappals	2245	0	2245	0.157504622	0.218986575	1425355
Andhra Pradesh	Peddapalle 	J.V. RAJU	M	50	SC	NIP	Cup & Saucer	3020	0	3020	0.211877041	0.294583277	1425355
Andhra Pradesh	Peddapalle 	VENKATA SWAMY INJAM	M	42	SC	MaSP	Ring	3861	5	3866	0.271230676	0.377105612	1425355
Andhra Pradesh	Peddapalle 	VELTHURU MALLAIAH	M	57	SC	RP(K)	Auto- Rickshaw	45976	1	45977	3.225652557	4.48478653	1425355
Andhra Pradesh	Peddapalle 	KAMILLA JAYA RAO	M	43	SC	IND	Scissors	2741	1	2742	0.192373128	0.267466008	1425355
Andhra Pradesh	Peddapalle 	GADDALA VINAY KUMAR	M	65	SC	IND	Ceiling Fan	3263	3	3266	0.229135899	0.318579133	1425355
Andhra Pradesh	Peddapalle 	GORRE RAMESH	M	43	SC	IND	Gas Cylinder	2359	2	2361	0.165642945	0.230301694	1425355
Andhra Pradesh	Peddapalle 	JINNA RAMADEVI	F	37	SC	IND	Battery Torch	9199	0	9199	0.64538308	0.897308465	1425355
Andhra Pradesh	Peddapalle 	THALLAPALLI SRINIVAS	M	35	SC	IND	Candles	3698	1	3699	0.259514296	0.360815742	1425355
Andhra Pradesh	Peddapalle 	BUPELLI NARAYANA	M	30	SC	IND	Bat	7255	3	7258	0.509206478	0.707975306	1425355
Andhra Pradesh	Peddapalle 	MOUTAM RAVINDER	M	33	SC	IND	Almirah	2671	3	2674	0.187602387	0.260833007	1425355
Andhra Pradesh	Peddapalle 	None of the Above				NOTA	NOTA	5344	17	5361	0.376116827	0.522934088	1425355
Andhra Pradesh	Karimnagar 	CHENNAMANENI VIDYA SAGAR RAO	M	73	GEN	BJP	Lotus	213836	992	214828	13.85263185	19.05833236	1550810
Andhra Pradesh	Karimnagar 	PONNAM PRABHAKAR	M	47	GEN	INC	Hand	298386	2320	300706	19.39025413	26.67694571	1550810
Andhra Pradesh	Karimnagar 	BURLA. RAVI	M	42	GEN	NCP	Clock	4768	1	4769	0.307516717	0.423078868	1550810
Andhra Pradesh	Karimnagar 	B. LAXMAN	M	53	SC	BSP	Elephant	11289	39	11328	0.730456987	1.004956472	1550810
