DDD|3D Systems Corporation|51.37|5340931605.46|n/a|n/a|Technology|Computer Software: Prepackaged Software|http://www.nasdaq.com/symbol/ddd|
MMM|3M Company|142.39|93162708068.33|n/a|n/a|Health Care|Medical/Dental Instruments|http://www.nasdaq.com/symbol/mmm|
WBAI|500.com Limited|33.71|1108170572.95|n/a|2013|Consumer Services|Services-Misc. Amusement & Recreation|http://www.nasdaq.com/symbol/wbai|
WUBA|58.com Inc.|41.57|3302252043.22|n/a|2013|Technology|Computer Software: Programming, Data Processing|http://www.nasdaq.com/symbol/wuba|
AHC|A.H. Belo Corporation|11.67|256920009.75|n/a|n/a|Consumer Services|Newspapers/Magazines|http://www.nasdaq.com/symbol/ahc|
ATEN|A10 Networks, Inc.|11.43|686422740.69|n/a|2014|Technology|Computer Communications Equipment|http://www.nasdaq.com/symbol/aten|
AIR|AAR Corp.|24.34|963098507|n/a|n/a|Capital Goods|Aerospace|http://www.nasdaq.com/symbol/air|
AAN|Aaron&#39;s,  Inc.|32.85|2372805661.95|n/a|n/a|Technology|Diversified Commercial Services|http://www.nasdaq.com/symbol/aan|
ABB|ABB Ltd|23.77|54686433956.08|n/a|n/a|Consumer Durables|Electrical Products|http://www.nasdaq.com/symbol/abb|
ABT|Abbott Laboratories|39.6|59476766104.8|n/a|n/a|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/abt|
ABBV|AbbVie Inc.|54.03|85911290779.77|n/a|2012|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/abbv|
ANF|Abercrombie & Fitch Company|37.14|2702867622.54|n/a|n/a|Consumer Services|Clothing/Shoe/Accessory Stores|http://www.nasdaq.com/symbol/anf|
GCH|Aberdeen Greater China Fund, Inc.|10.29|249717843.48|n/a|1992|n/a|n/a|http://www.nasdaq.com/symbol/gch|
JEQ|Aberdeen Japan Equity Fund, Inc. |6.8|96379895.2|n/a|1992|n/a|n/a|http://www.nasdaq.com/symbol/jeq|
SGF|Aberdeen Singapore Fund, Inc.|13.07|100008869.16|n/a|1990|n/a|n/a|http://www.nasdaq.com/symbol/sgf|
ABM|ABM Industries Incorporated|27.33|1526723436.84|n/a|n/a|Finance|Diversified Commercial Services|http://www.nasdaq.com/symbol/abm|
AKR|Acadia Realty Trust|27.45|1574989371.9|n/a|n/a|Consumer Services|Real Estate Investment Trusts|http://www.nasdaq.com/symbol/akr|
ACN|Accenture plc.|80.42|65182232880.14|n/a|2001|Miscellaneous|Business Services|http://www.nasdaq.com/symbol/acn|
ACMP|Access Midstream Partmers, L.P.|62.46|12622561262.28|n/a|n/a|Public Utilities|Natural Gas Distribution|http://www.nasdaq.com/symbol/acmp|
ACCO|Acco Brands Corporation|6.06|691444266.84|n/a|n/a|Consumer Durables|Publishing|http://www.nasdaq.com/symbol/acco|
ACW|Accuride Corporation New|5.55|264748897.2|n/a|n/a|Capital Goods|Auto Parts:O.E.M.|http://www.nasdaq.com/symbol/acw|
ACE|Ace Limited|103.55|34968856434.85|n/a|n/a|Finance|Property-Casualty Insurers|http://www.nasdaq.com/symbol/ace|
ATV|Acorn International, Inc.|1.6|44133220.8|n/a|2007|Consumer Services|Other Specialty Stores|http://www.nasdaq.com/symbol/atv|
ACT|Actavis, Inc.|213.45|37238203965.3|n/a|2013|Health Care|Major Pharmaceuticals|http://www.nasdaq.com/symbol/act|
ATU|Actuant Corporation|35.5|2521078259.5|n/a|n/a|Technology|Industrial Machinery/Components|http://www.nasdaq.com/symbol/atu|
AYI|Acuity Brands Inc|125.57|5425697246.79|n/a|n/a|Consumer Durables|Building Products|http://www.nasdaq.com/symbol/ayi|
ADX|Adams Express Company (The)|13.52|1257648543.84|n/a|n/a|n/a|n/a|http://www.nasdaq.com/symbol/adx|
AGRO|Adecoagro S.A.|9.12|1116123840|n/a|2011|Consumer Non-Durables|Farming/Seeds/Milling|http://www.nasdaq.com/symbol/agro|
PVD|Administradora de Fondos de Pensiones-Provida, S.A.|92.4|2040910317.6|n/a|1994|Finance|Property-Casualty Insurers|http://www.nasdaq.com/symbol/pvd|
ADT|ADT Corporation|32.57|5675180462.23|n/a|n/a|Consumer Services|Diversified Commercial Services|http://www.nasdaq.com/symbol/adt|
AAP|Advance Auto Parts Inc|122.31|8921358425.88|n/a|n/a|Consumer Services|Other Specialty Stores|http://www.nasdaq.com/symbol/aap|
AMD|Advanced Micro Devices, Inc.|4.03|3071028788.49|n/a|n/a|Technology|Semiconductors|http://www.nasdaq.com/symbol/amd|
ASX|Advanced Semiconductor Engineering, Inc.|6.52|9923600789.72|n/a|n/a|Technology|Semiconductors|http://www.nasdaq.com/symbol/asx|
AAV|Advantage Oil & Gas Ltd|5.83|987387817.46|n/a|n/a|Energy|Oil & Gas Production|http://www.nasdaq.com/symbol/aav|
ATE|Advantest Corporation (Kabushiki Kaisha Advantest) ADS|11.38|1982377860.28|n/a|n/a|Technology|Semiconductors|http://www.nasdaq.com/symbol/ate|
